supp	conf	cove	year	month	area_this_epoch	lonm_this_epoch	latm_this_epoch	area_next_epoch	lonm_next_epoch	latm_next_epoch
0.000007	0.076923	0.000089	1999	11	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000027	0.307692	0.000089	1999	11	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.001731	0.824104	0.002100	1999	11	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000123	0.058632	0.002100	1999	11	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000246	0.117264	0.002100	1999	11	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000007	0.010638	0.000643	1999	11	ION	-2.555600	36.178800	ADR	15.921000	42.786200
0.000007	0.010638	0.000643	1999	11	ION	-2.555600	36.178800	AEG	25.031300	37.882500
0.000082	0.127660	0.000643	1999	11	ION	-2.555600	36.178800	CEN	25.031300	37.882500
0.000547	0.851064	0.000643	1999	11	ION	-2.555600	36.178800	ION	25.031300	37.882500
0.000027	0.048193	0.000568	1999	11	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000376	0.662651	0.000568	1999	11	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000164	0.289157	0.000568	1999	11	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000670	0.765625	0.000876	1999	11	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000157	0.179688	0.000876	1999	11	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000048	0.054688	0.000876	1999	11	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000068	0.056497	0.001211	1999	11	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000014	0.011299	0.001211	1999	11	SLE	28.656000	33.044300	ION	4.799800	38.025700
0.000144	0.118644	0.001211	1999	11	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000985	0.813559	0.001211	1999	11	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000062	0.088235	0.000698	1999	11	SWE	4.799800	38.025700	CEN	28.656000	33.044300
